FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS
0.447,1,0.271,0.5,0.721,1,3.6,0.7,0.4,0.5,5.2
0.414,0.3,0.111,0.427,0.652,1.5,5.1,0.9,0.6,0.3,6.7
0.557,0.1,0,0.562,0.72,1.9,5.6,0.8,0.5,0.6,11.5
0.574,0.6,0.413,0.59,0.612,2.1,6.1,1.6,0.6,0.8,9.3
0.437,1,0.317,0.47,0.6,0.4,2.1,0.6,0.2,0.3,4.9
0.421,0.4,0.304,0.431,0.641,0.9,3.8,0.8,0.5,0.3,5.2
0.535,0.2,0.083,0.54,0.805,2.5,10.2,2.2,1.5,2.9,24.4
0.41,3.8,0.366,0.534,0.783,0.7,3.1,0.8,0.3,0.2,6.3
0.502,0.4,0.4,0.504,0.728,1.9,7.6,5.3,0.9,0.5,21.9
0.46,2.1,0.32,0.512,0.774,1,4.3,2.9,0.4,0.3,8.7
0.642,0,0,0.647,0.696,1.7,4.3,0.5,0.7,1.3,7.3
0.504,0.4,0.281,0.515,0.79,1.7,4.9,1.3,0.5,0.4,10.6
0.515,0,,0.515,0.82,1.4,3.8,0.4,0.2,0.2,7.2
0.499,0,,0.499,0.627,1.6,6.8,1.3,0.6,0.2,11.8
0.392,4.6,0.393,0.39,0.886,0.4,3.9,1.3,0.6,0.5,7.3
0.414,3.5,0.376,0.475,0.571,0.5,2.3,0.3,0.2,0.3,6.3
0.449,0.3,0.133,0.48,0.574,0.9,2.9,0.3,0.2,0.4,3.7
0.457,0.2,0.1,0.468,0.617,1.1,3.9,0.8,0.7,0.6,5.2
0.404,1.9,0.236,0.471,0.78,0.9,2.9,1,0.8,0.4,6.6
0.511,0,0,0.514,0.654,1.7,5.2,1.7,0.6,0.5,7.9
0.471,0.3,0.2,0.479,0.739,1.6,6.8,3.4,0.7,0.7,11.7
0.525,0.1,0.167,0.527,0.669,2.6,8.2,1.5,0.8,1.7,16
0.447,2.1,0.314,0.511,0.684,0.6,2.7,0.7,0.5,0.1,8.3
0.459,3.6,0.38,0.486,0.882,0.6,5.9,1.9,0.5,0.4,17.3
0.504,1.9,0.368,0.536,0.602,1.9,5.9,1.8,0.8,0.5,12
0.443,4.2,0.337,0.523,0.66,1.4,8.2,3.7,1.6,1.3,11.7
0.399,1.2,0.39,0.401,0.773,1.4,4.4,1,0.4,0.2,5.4
0.601,0,,0.601,0.487,2.9,7.6,1.2,0.6,1.2,8.3
0.472,3.3,0.389,0.515,0.645,1.4,4.8,1,0.6,0.3,11.5
0.513,0.1,0,0.548,0.481,1.9,4.3,0.7,0.4,0.4,2.3
0.459,0.1,0,0.466,0.632,0.6,2.3,0.5,0.6,0.3,4
0.496,0,,0.496,0.75,3.3,10.2,2.1,1.1,0.5,15.9
0.589,0.7,0.216,0.643,0.657,0.9,3.7,1.4,0.8,1,7.9
0.439,3.2,0.283,0.494,0.744,2.5,7.6,2.3,0.8,0.7,13.3
0.422,0,,0.422,0.577,1.4,3.3,0.3,0.3,0.7,3.3
0.47,0,0,0.471,0.622,1.7,6.5,1,0.4,0.7,6.1
0.552,0,0,0.556,0.289,1.5,4,0.4,0.6,0.4,2.7
0.367,0,,0.367,0.444,0.8,1.9,0.5,0.1,0.1,2.9
0.443,0.5,0.241,0.467,0.627,0.8,3.3,0.7,0.3,0.1,4.5
0.446,1.9,0.386,0.481,0.848,1.2,3.8,0.9,0.6,0.2,6
0.419,2.7,0.316,0.451,0.498,1.8,6.4,3.3,1,1.4,12.4
0.507,0.1,0.125,0.511,0.691,3.2,8.9,1.2,0.8,0.8,12.6
0.467,0.1,0.143,0.475,0.8,1,6.6,1.6,1,0.4,6.9
0.434,5.2,0.367,0.48,0.804,1.9,9.7,2.2,0.7,0.5,16.4
0.473,0.1,0,0.481,0.744,1.8,6.5,0.9,0.5,0.4,8
0.492,0.8,0.279,0.538,0.772,0.9,3.9,1.2,0.6,0.8,5.8
0.466,1.5,0.352,0.475,0.845,2.5,10.2,1.7,0.7,1,23.4
0.412,0.4,0.318,0.417,0.727,1,3.1,1.1,0.6,0.1,7.1
0.427,0,0,0.429,0.471,1.8,5.1,1.3,0.4,1,4.9
0.395,3,0.307,0.435,0.589,1.2,4.9,1.6,1.2,0.3,9.9
0.467,0.2,0.25,0.474,0.699,1.7,6.5,1.3,0.6,0.2,9.4
0.434,3.9,0.358,0.487,0.628,0.9,4.8,1.6,0.8,0.2,10.4
0.465,2.2,0.318,0.494,0.763,1.3,6.2,2.3,1.2,0.5,15.3
0.424,3.4,0.358,0.5,0.713,0.7,4.9,1.3,0.9,0.5,7.4
0.409,1.8,0.365,0.462,0.811,0.4,1.6,0.7,0.1,0.2,3.7
0.55,0.6,0.409,0.574,0.88,1.3,3,0.6,0.4,0.5,4.9
0.444,2.8,0.344,0.517,0.792,0.7,2.9,1.1,0.4,0,7.8
0.382,4.8,0.321,0.476,0.717,0.7,4.9,1.2,0.4,0.4,8.5
0.533,0.1,0,0.54,0.625,1.7,5.2,0.4,0.5,0.5,6.3
0.511,0.1,0.2,0.513,0.604,1.3,5.1,1.8,1,0.3,11
0.419,0.9,0.267,0.466,0.692,1.4,3.8,1.4,0.5,0.4,4.1
0.405,3.8,0.316,0.495,0.803,0.8,4.9,1.2,0.7,0.7,10.2
0.449,3.5,0.371,0.536,0.788,1.6,5.3,1.9,0.7,0.5,8
0.494,0.3,0.462,0.495,0.803,2.8,11.8,2.7,0.3,1.9,18.5
0.476,3,0.356,0.513,0.757,1.9,7.8,3.1,1.8,0.9,16.7
0.459,0.9,0.3,0.494,0.784,1.2,4.4,1,0.4,0.3,5.9
0.423,0,0,0.43,0.619,2.1,6.4,0.7,0.5,0.1,3.7
0.399,5.9,0.34,0.457,0.854,1.8,4.8,0.9,0.5,0.3,13.7
0.337,2.6,0.336,0.337,0.832,0.3,2.8,1.8,0.6,0.5,6.4
0.476,3.2,0.376,0.511,0.836,2.1,7.8,0.9,0.5,2.4,14.3
0.393,2.4,0.313,0.452,0.647,0.4,3.5,1.2,0.3,0.7,5.8
0.502,0,,0.502,0.717,2.6,6.4,1.1,0.6,1.2,10.3
0.528,1.1,0.351,0.553,0.606,2.4,6.7,1.1,0.5,1.8,11.7
0.466,1.5,0.33,0.484,0.655,1.7,5.4,2.3,1.6,0.3,14.1
0.485,0,0,0.488,0.528,1.8,5.6,0.6,0.6,0.4,5.7
0.487,1.1,0.345,0.518,0.581,1.8,5,1.1,0.5,0.5,7.2
0.547,0,,0.547,0.641,3.3,8,0.5,0.4,0.7,8.5
0.521,0.1,0.143,0.538,0.698,1.4,3.6,0.3,0.4,0.2,3.6
0.448,0.2,0.2,0.459,0.703,1.1,4.2,0.7,0.3,0.2,4.2
0.487,0.3,0.35,0.49,0.765,3.2,10.5,2.2,1,0.2,16.1
0.473,1.8,0.296,0.531,0.668,2,6.5,1.6,0.8,0.7,9.2
0.585,0.5,0.233,0.624,0.57,2.3,6.4,1.7,0.7,1.1,7.3
0.471,2,0.36,0.536,0.785,0.6,3.6,0.4,0.2,0.4,6.9
0.386,3.8,0.36,0.5,0.617,0.5,3.2,0.7,0.4,0.2,5.3
0.499,0.5,0.333,0.504,0.727,1.5,8.4,4.9,0.8,0.5,21.4
0.427,0.8,0.308,0.443,0.727,2,5.4,0.8,0.4,0.4,7
0.527,0.9,0.362,0.564,0.737,0.8,3.1,2.3,0.3,0.3,6.4
0.549,0,0,0.552,0.845,1.6,4.3,1.1,0.5,0.8,7.2
0.556,0.4,0.462,0.561,0.736,1.4,4.1,0.9,0.3,0.3,9.8
0.382,2.8,0.273,0.503,0.917,0.4,2.5,0.4,0.3,0.2,5.1
0.467,4.2,0.365,0.508,0.795,0.9,7.4,2.4,0.7,0.6,19.1
0.452,1.7,0.385,0.473,0.755,1.2,4.2,1.4,0.8,0.7,7.5
0.531,0,0,0.533,0.763,1.8,5.5,1.5,0.4,0.5,7.8
0.545,0.1,0.429,0.546,0.788,0.9,4,1.8,0.6,0.7,7.1
0.515,0.1,0,0.518,0.709,2.7,8.1,1.5,1.2,1.5,16.4
0.448,4.6,0.368,0.483,0.893,0.7,6.5,1.8,0.7,0.7,18.3
0.439,1.5,0.281,0.5,0.642,1,2.9,1.1,0.5,0.1,6.2
0.49,3.2,0.388,0.537,0.696,1.7,9.5,7.4,1.5,1.4,14
0.32,1.4,0.171,0.419,0.643,0.9,2.8,0.4,0.3,0.4,2.7
0.493,0.2,0.125,0.514,0.739,1.2,4,0.6,0.5,0.3,5.8
0.611,0,,0.611,0.559,2.8,7.4,1.1,0.7,0.9,6.5
0.424,3.5,0.371,0.458,0.721,1.9,5.4,0.9,0.7,0.4,10.4
0.493,0.5,0.257,0.502,0.768,1.6,5.2,1.7,0.9,0.4,14.1
0.475,1.2,0.303,0.54,0.574,0.5,2.2,1.2,0.5,0.6,5
0.465,0.6,0.333,0.478,0.752,1.8,4.8,0.9,0.6,0.4,7.4
0.478,2.9,0.42,0.534,0.735,0.7,3.5,2.1,0.9,0.2,7.9
0.435,1.3,0.282,0.458,0.64,2.4,8.3,2.3,0.9,0.6,10.3
0.419,1.9,0.24,0.477,0.658,1.3,4.7,1.8,0.7,1.6,9.7
0.411,0,1,0.409,0.675,1,2.7,0.5,0.3,0.1,3
0.481,1.6,0.382,0.511,0.762,1.1,5.6,1.1,0.6,0.4,8.5
0.413,1.4,0.398,0.421,0.782,1,3.7,0.8,0.3,0.3,4.4
0.372,1.2,0.245,0.434,0.7,0.5,2.5,1.9,0.4,0.2,3.6
0.364,2.6,0.287,0.417,0.552,0.9,3.5,1.6,0.6,0.9,6
0.429,0.4,0.278,0.436,0.715,2.1,10.2,1.8,0.7,0.4,11.3
0.558,0,0.5,0.558,0.613,3.5,8.7,1.2,0.5,0.9,12.5
0.47,0,0,0.474,0.667,0.4,3.9,1.6,0.7,0.3,3.2
0.419,5.7,0.36,0.467,0.822,1.9,9.9,2.4,0.8,0.5,16
0.41,2,0.315,0.465,0.798,1.1,4.1,0.7,0.3,0.4,6.5
0.421,3.4,0.333,0.454,0.838,1.8,7.3,1.3,0.7,1.9,14.3
0.476,0.3,0.227,0.498,0.767,1.2,3.8,1.1,0.3,0.8,4.8
0.513,0.2,0,0.521,0.858,2.4,8.5,1.5,0.5,1.1,18
0.442,1.8,0.404,0.458,0.857,0.6,2.2,0.9,0.4,0.1,8.2
0.527,0.2,0.1,0.541,0.681,1.6,5,0.7,0.9,0.4,5.5
0.516,0,,0.516,0.63,2.1,5.4,1,0.3,0.5,5.4
0.454,0.5,0.325,0.485,0.526,0.8,2.3,0.4,0.6,0.3,3.1
0.45,2.1,0.404,0.467,0.726,1.1,4.7,0.9,0.6,0.4,8.7
0.455,3.5,0.344,0.513,0.755,1.5,6,1.9,1,0.4,12.3
0.425,2.4,0.303,0.458,0.735,1.1,5.5,1.9,0.9,0.5,12
0.452,4.7,0.402,0.504,0.833,1.6,6.4,1.4,0.7,1,11.7
0.448,3.7,0.377,0.527,0.761,0.8,5.1,1.5,0.1,0.3,8.4
0.468,2.1,0.392,0.523,0.794,0.7,2.7,1,0.3,0.2,6.2
0.427,5.8,0.393,0.476,0.774,0.7,3.8,1.1,0.4,0.3,12.2
0.468,2.1,0.384,0.564,0.727,0.8,3.5,1.4,0.4,0.4,5.1
0.544,0.1,0,0.549,0.578,0.9,4.5,1.7,0.9,0.5,9.2
0.459,0,0,0.467,0.697,1.2,2.9,0.9,0.3,0.3,2.1
0.407,5.2,0.39,0.43,0.807,0.9,5.5,1.5,0.9,0.7,11.8
0.421,0.6,0.239,0.457,0.745,1.2,3.9,0.4,0.3,0.3,3.6
0.481,4,0.409,0.537,0.648,0.8,5.9,1.4,0.8,0.2,11.8
0.414,3.7,0.362,0.49,0.853,1,4.3,1.2,0.7,0.4,6.9
0.47,2.9,0.319,0.512,0.757,2.4,9,3.3,1.8,1.7,17.1
0.556,0.8,0.388,0.606,0.735,1.1,3.2,0.5,0.5,0.4,5.2
0.514,0.9,0.182,0.596,0.689,1.2,2.6,0.6,0.4,0.8,5.6
0.427,5.4,0.366,0.466,0.873,2,6,1.1,0.6,0.4,17
0.369,1,0.135,0.446,0.685,0.6,3.4,0.6,0.4,0.3,4.2
0.479,2.4,0.326,0.52,0.752,1.8,6.8,0.8,0.5,1.9,12.6
0.405,1.8,0.373,0.422,0.831,0.9,4.3,1.9,0.4,0.5,6
0.526,0,0,0.529,0.692,2.8,6.9,1.5,0.6,1.1,8.6
0.452,1.6,0.316,0.49,0.664,1.2,4.2,0.8,0.5,0.8,8.7
0.514,0.4,0.233,0.523,0.644,2.4,9,1.8,1.5,0.5,15.1
0.447,0,0,0.448,0.431,1.9,5.1,0.6,0.5,0.5,4.3
0.469,3.1,0.335,0.518,0.831,1.3,6.7,2.2,0.9,0.5,14.7
0.49,0.5,0.293,0.513,0.67,2.1,5.7,1.1,0.7,0.5,5.9
0.438,1.6,0.383,0.461,0.695,0.7,3.7,0.7,0.3,0.2,6.1
0.588,0,,0.588,0.616,3.3,9,0.8,0.5,0.6,7.8
0.475,0.4,0.231,0.482,0.796,2.6,7.8,2.1,0.6,0.2,15.3
0.393,3.5,0.33,0.445,0.706,1.3,7.4,1.6,1,0.7,8.7
0.576,0.8,0.409,0.612,0.67,1.5,4.6,1.8,0.6,0.8,6.5
0.442,3.5,0.391,0.537,0.744,0.8,3.6,1.2,0.5,0.3,7.1
0.493,1.9,0.336,0.514,0.76,1.8,8.1,4.9,0.9,0.4,21.6
0.488,1.5,0.333,0.541,0.661,1.2,4.6,0.5,0.3,0.2,6.8
0.446,1.1,0.247,0.512,0.743,0.6,2.2,2.3,0.2,0.1,4.6
0.575,0.1,0.333,0.579,0.875,0.8,2.5,0.4,0.3,0.2,5.6
0.485,2.7,0.392,0.579,0.593,0.8,4.2,0.6,0.6,0.4,6.6
0.411,4.2,0.311,0.469,0.782,1.4,6.3,2.2,0.7,0.4,12.8
0.442,2.9,0.453,0.429,0.864,0.6,2.7,1,0.5,0.5,6.4
0.59,0,,0.59,0.708,1.9,5.6,1.6,0.4,0.5,7.3
