,Player,FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS,Height
0,Aaron Brooks\brookaa01,0.42100000000000004,3.8,0.387,0.442,0.833,0.4,2.0,3.2,0.7,0.2,11.6,72
1,Andre Miller\millean02,0.5,0.4,0.20600000000000002,0.539,0.753,0.5,1.9,3.5,0.4,0.1,4.4,75
2,Beno Udrih\udrihbe01,0.48700000000000004,1.2,0.268,0.539,0.853,0.3,1.8,2.8,0.6,0.1,7.7,75
3,Brandon Jennings\jennibr01,0.401,5.1,0.36,0.428,0.8390000000000001,0.5,2.5,6.6,1.1,0.1,15.4,73
4,Brandon Knight\knighbr03,0.42200000000000004,5.1,0.389,0.441,0.8740000000000001,0.4,3.9,5.2,1.4,0.2,17.0,75
5,Brian Roberts\roberbr01,0.389,2.7,0.321,0.44,0.892,0.2,1.5,2.3,0.5,0.1,6.7,73
6,C.J. Watson\watsocj01,0.434,3.1,0.4,0.45899999999999996,0.826,0.3,2.9,3.6,1.0,0.2,10.0,74
7,Chris Paul\paulch01,0.485,4.3,0.39799999999999996,0.523,0.9,0.6,4.6,10.2,1.9,0.2,19.1,72
8,Cory Joseph\josepco01,0.504,0.6,0.364,0.52,0.7340000000000001,0.6,2.4,2.4,0.6,0.2,6.8,75
9,D.J. Augustin\augusdj01,0.39899999999999997,3.0,0.337,0.436,0.868,0.2,2.0,4.3,0.6,0.0,9.5,72
10,Damian Lillard\lillada01,0.434,7.0,0.34299999999999997,0.5,0.8640000000000001,0.6,4.6,6.2,1.2,0.3,21.0,75
11,Dante Exum\exumda01,0.349,3.2,0.314,0.408,0.625,0.3,1.6,2.4,0.5,0.2,4.8,78
12,Darren Collison\collida01,0.473,3.6,0.373,0.514,0.7879999999999999,0.4,3.2,5.6,1.5,0.3,16.1,72
13,Dennis Schroder\schrode01,0.42700000000000005,1.9,0.35100000000000003,0.449,0.8270000000000001,0.4,2.1,4.1,0.6,0.1,10.0,73
14,Deron Williams\willide01,0.387,3.5,0.36700000000000005,0.395,0.8340000000000001,0.4,3.5,6.6,0.9,0.3,13.0,75
15,Derrick Rose\rosede01,0.405,5.3,0.28,0.465,0.813,0.7,3.2,4.9,0.7,0.3,17.7,75
16,Devin Harris\harride01,0.418,3.5,0.35700000000000004,0.48100000000000004,0.815,0.2,1.8,3.1,1.0,0.2,8.8,75
17,Donald Sloan\sloando01,0.408,2.5,0.313,0.46399999999999997,0.779,0.2,2.7,3.6,0.4,0.0,7.4,75
18,Elfrid Payton\paytoel01,0.425,0.5,0.262,0.435,0.551,1.3,4.3,6.5,1.7,0.2,8.9,76
19,Eric Bledsoe\bledser01,0.447,3.4,0.324,0.491,0.8,0.9,5.2,6.1,1.6,0.6,17.0,73
20,George Hill\hillge01,0.47700000000000004,4.5,0.358,0.544,0.79,0.6,4.2,5.1,1.0,0.3,16.1,75
21,Goran Dragic\dragigo01,0.501,3.3,0.34700000000000003,0.555,0.774,1.0,3.5,4.5,1.0,0.2,16.3,75
22,Greivis Vasquez\vasqugr01,0.408,4.3,0.379,0.436,0.758,0.3,2.6,3.7,0.6,0.1,9.5,78
23,Isaiah Canaan\canaais01,0.386,5.2,0.37,0.41700000000000004,0.8170000000000001,0.4,1.9,2.1,0.6,0.1,9.2,72
24,Isaiah Thomas\thomais02,0.42,5.2,0.373,0.457,0.868,0.5,2.3,4.2,0.9,0.1,16.4,69
25,Ish Smith\smithis01,0.39,1.1,0.3,0.40700000000000003,0.596,0.3,1.8,3.3,0.7,0.1,6.1,72
26,J.J. Barea\bareajo01,0.42,2.2,0.32299999999999995,0.46299999999999997,0.809,0.3,1.7,3.4,0.4,0.0,7.5,72
27,Jameer Nelson\nelsoja01,0.40700000000000003,4.1,0.345,0.47200000000000003,0.667,0.5,2.3,4.0,0.7,0.1,8.3,72
28,Jarrett Jack\jackja01,0.439,1.8,0.267,0.47700000000000004,0.8809999999999999,0.2,3.1,4.7,0.9,0.2,12.0,75
29,Jeff Teague\teaguje01,0.46,2.8,0.34299999999999997,0.496,0.862,0.4,2.5,7.0,1.7,0.4,15.9,74
30,Jeremy Lin\linje01,0.424,2.4,0.369,0.444,0.795,0.4,2.6,4.6,1.1,0.4,11.2,75
31,Jerryd Bayless\bayleje01,0.426,1.6,0.308,0.462,0.883,0.3,2.7,3.0,0.8,0.2,7.8,75
32,Jimmer Fredette\fredeji01,0.38,1.0,0.188,0.45799999999999996,0.956,0.2,0.8,1.2,0.3,0.0,3.6,74
33,John Wall\walljo01,0.445,2.7,0.3,0.478,0.785,0.5,4.6,10.0,1.7,0.6,17.6,76
34,Jordan Clarkson\clarkjo01,0.44799999999999995,2.1,0.314,0.48200000000000004,0.8290000000000001,0.9,3.2,3.5,0.9,0.2,11.9,77
35,Jordan Farmar\farmajo01,0.386,2.7,0.361,0.426,0.909,0.2,1.2,1.9,0.6,0.1,4.6,74
36,Jose Calderon\caldejo01,0.415,3.4,0.415,0.415,0.9059999999999999,0.5,3.0,4.7,0.7,0.0,9.1,75
37,Jrue Holiday\holidjr01,0.446,3.4,0.37799999999999995,0.469,0.855,0.8,3.4,6.9,1.6,0.6,14.8,76
38,Kemba Walker\walkeke02,0.385,4.5,0.304,0.418,0.8270000000000001,0.6,3.5,5.1,1.4,0.5,17.3,73
39,Kyle Lowry\lowryky01,0.41200000000000003,5.6,0.33799999999999997,0.457,0.8079999999999999,0.8,4.7,6.8,1.6,0.2,17.8,73
40,Kyrie Irving\irvinky01,0.46799999999999997,5.0,0.415,0.491,0.863,0.7,3.2,5.2,1.5,0.3,21.7,75
41,Langston Galloway\gallola01,0.39899999999999997,3.9,0.35200000000000004,0.424,0.8079999999999999,0.8,4.2,3.3,1.2,0.3,11.8,74
42,Luke Ridnour\ridnolu01,0.426,1.3,0.317,0.48700000000000004,0.857,0.2,1.4,2.0,0.4,0.1,4.0,74
43,Marcus Smart\smartma01,0.36700000000000005,4.1,0.335,0.41,0.6459999999999999,0.9,3.3,3.1,1.5,0.3,7.8,76
44,Mario Chalmers\chalmma01,0.40299999999999997,3.1,0.294,0.467,0.774,0.3,2.6,3.8,1.5,0.1,10.2,74
45,Michael Carter-Williams\cartemi01,0.396,2.3,0.235,0.428,0.6940000000000001,1.0,5.3,6.7,1.7,0.5,14.6,78
46,Mike Conley\conlemi01,0.446,4.0,0.386,0.473,0.8590000000000001,0.4,3.0,5.4,1.3,0.2,15.8,73
47,Mo Williams\willima01,0.397,5.1,0.342,0.434,0.872,0.3,2.6,6.2,0.7,0.2,14.2,73
48,Nate Robinson\robinna01,0.345,2.7,0.27699999999999997,0.39899999999999997,0.674,0.4,1.2,2.3,0.5,0.1,5.7,69
49,Norris Cole\coleno01,0.41200000000000003,2.3,0.313,0.45799999999999996,0.716,0.2,2.1,3.4,0.8,0.2,7.6,74
50,Pablo Prigioni\prigipa01,0.39899999999999997,2.5,0.34299999999999997,0.5479999999999999,0.8540000000000001,0.4,1.8,2.6,1.2,0.0,4.1,75
51,Patrick Beverley\beverpa01,0.38299999999999995,5.8,0.35600000000000004,0.426,0.75,1.2,4.2,3.4,1.1,0.4,10.1,73
52,Patty Mills\millspa02,0.381,3.6,0.341,0.429,0.825,0.4,1.5,1.7,0.5,0.0,6.9,72
53,Phil Pressey\pressph01,0.368,1.3,0.24600000000000002,0.44,0.6729999999999999,0.3,1.6,2.3,0.6,0.1,3.5,71
54,Rajon Rondo\rondora01,0.426,1.3,0.314,0.444,0.397,1.1,5.5,7.9,1.3,0.1,8.9,73
55,Ramon Sessions\sessira01,0.374,0.9,0.317,0.387,0.769,0.4,2.3,2.8,0.5,0.0,6.3,75
56,Ray McCallum\mccalra01,0.43799999999999994,1.6,0.306,0.479,0.679,0.8,2.6,2.8,0.7,0.2,7.4,75
57,Reggie Jackson\jacksre01,0.434,3.1,0.299,0.47700000000000004,0.83,0.7,4.2,6.0,0.8,0.1,14.5,75
58,Rodney Stuckey\stuckro01,0.44,2.0,0.39,0.452,0.8190000000000001,0.5,3.5,3.1,0.8,0.1,12.6,77
59,Ronnie Price\pricero01,0.345,2.5,0.284,0.40399999999999997,0.8,0.4,1.6,3.8,1.6,0.1,5.1,74
60,Russell Westbrook\westbru01,0.426,4.3,0.299,0.457,0.835,1.9,7.3,8.6,2.1,0.2,28.1,75
61,Shabazz Napier\napiesh01,0.382,2.3,0.364,0.4,0.7859999999999999,0.3,2.2,2.5,0.8,0.1,5.1,73
62,Shane Larkin\larkish01,0.433,1.5,0.302,0.48100000000000004,0.782,0.4,2.3,3.0,1.2,0.1,6.2,71
63,Shaun Livingston\livinsh01,0.5,0.0,0.0,0.503,0.7140000000000001,0.6,2.3,3.3,0.6,0.3,5.9,79
64,Shelvin Mack\macksh01,0.401,2.3,0.315,0.467,0.8059999999999999,0.1,1.4,2.8,0.5,0.0,5.4,75
65,Spencer Dinwiddie\dinwisp01,0.302,1.9,0.185,0.375,0.912,0.1,1.4,3.1,0.6,0.2,4.3,78
66,Stephen Curry\curryst01,0.48700000000000004,8.1,0.44299999999999995,0.528,0.914,0.7,4.3,7.7,2.0,0.2,23.8,75
67,Steve Blake\blakest01,0.373,2.7,0.35200000000000004,0.41700000000000004,0.7070000000000001,0.2,1.7,3.6,0.5,0.1,4.3,75
68,Tony Parker\parketo01,0.486,1.3,0.42700000000000005,0.493,0.7829999999999999,0.2,1.9,4.9,0.6,0.0,14.4,74
69,Tony Wroten\wroteto01,0.40299999999999997,4.7,0.261,0.473,0.667,0.7,2.9,5.2,1.6,0.3,16.9,78
70,Trey Burke\burketr01,0.368,5.1,0.318,0.4,0.752,0.4,2.7,4.3,0.9,0.2,12.8,73
71,Ty Lawson\lawsoty01,0.436,2.7,0.341,0.46299999999999997,0.73,0.6,3.1,9.6,1.2,0.1,15.2,71
72,Tyler Ennis\ennisty01,0.361,1.3,0.27899999999999997,0.396,0.7140000000000001,0.2,1.1,2.2,0.5,0.2,3.7,75
73,Zach LaVine\lavinza01,0.42200000000000004,2.2,0.341,0.449,0.8420000000000001,0.4,2.8,3.6,0.7,0.1,10.1,77
74,Aaron Brooks\brookaa01,0.401,2.7,0.35700000000000004,0.43,0.7659999999999999,0.3,1.5,2.6,0.4,0.1,7.1,72
75,Andre Miller\millean02,0.557,0.2,0.25,0.5820000000000001,0.75,0.3,1.3,2.2,0.4,0.0,3.7,75
76,Archie Goodwin\goodwar01,0.41700000000000004,1.7,0.23199999999999998,0.474,0.674,0.5,2.5,2.1,0.5,0.2,8.9,77
77,Beno Udrih\udrihbe01,0.434,1.0,0.341,0.461,0.9,0.2,1.6,2.6,0.3,0.0,4.7,75
78,Brandon Jennings\jennibr01,0.368,3.2,0.32899999999999996,0.409,0.731,0.3,2.0,3.5,0.6,0.1,6.9,73
79,Brian Roberts\roberbr01,0.44299999999999995,0.9,0.33299999999999996,0.47700000000000004,0.919,0.1,1.0,1.3,0.2,0.0,4.8,73
80,C.J. Watson\watsocj01,0.34299999999999997,1.5,0.292,0.371,0.872,0.3,2.0,2.7,0.6,0.2,4.3,74
81,Cameron Payne\payneca01,0.41,1.9,0.324,0.467,0.792,0.2,1.5,1.9,0.6,0.1,5.0,75
82,Chris Paul\paulch01,0.462,4.4,0.371,0.501,0.8959999999999999,0.5,4.2,10.0,2.1,0.2,19.5,72
83,D.J. Augustin\augusdj01,0.423,2.7,0.405,0.44,0.805,0.1,1.5,3.2,0.6,0.1,7.5,72
84,D'Angelo Russell\russeda01,0.41,4.6,0.35100000000000003,0.447,0.737,0.6,3.4,3.3,1.2,0.2,13.2,77
85,Damian Lillard\lillada01,0.419,8.1,0.375,0.45,0.892,0.6,4.0,6.8,0.9,0.4,25.1,75
86,Darren Collison\collida01,0.486,2.9,0.401,0.519,0.858,0.4,2.3,4.3,1.0,0.1,14.0,72
87,Dennis Schroder\schrode01,0.42100000000000004,3.0,0.322,0.465,0.7909999999999999,0.3,2.6,4.4,0.9,0.1,11.0,73
88,Deron Williams\willide01,0.414,4.3,0.344,0.45399999999999996,0.8690000000000001,0.3,2.9,5.8,0.9,0.2,14.1,75
89,Derrick Rose\rosede01,0.42700000000000005,2.3,0.293,0.449,0.7929999999999999,0.7,3.4,4.7,0.7,0.2,16.4,75
90,Devin Harris\harride01,0.447,2.5,0.32899999999999996,0.532,0.721,0.3,2.2,1.8,0.9,0.2,7.6,75
91,Donald Sloan\sloando01,0.44,1.6,0.384,0.462,0.75,0.3,2.8,4.4,0.5,0.1,7.0,75
92,Elfrid Payton\paytoel01,0.436,1.3,0.326,0.451,0.589,1.1,3.6,6.4,1.2,0.3,10.7,76
93,Emmanuel Mudiay\mudiaem01,0.364,3.4,0.319,0.379,0.67,0.5,3.4,5.5,1.0,0.5,12.8,77
94,Eric Bledsoe\bledser01,0.45299999999999996,4.2,0.37200000000000005,0.48200000000000004,0.802,0.6,4.0,6.1,2.0,0.6,20.4,73
95,George Hill\hillge01,0.441,4.2,0.408,0.466,0.76,0.8,4.0,3.5,1.1,0.2,12.1,75
96,Giannis Antetokounmpo\antetgi01,0.506,1.4,0.257,0.537,0.7240000000000001,1.4,7.7,4.3,1.2,1.4,16.9,83
97,Goran Dragic\dragigo01,0.47700000000000004,2.8,0.312,0.527,0.727,0.8,3.8,5.8,1.0,0.2,14.1,75
98,Isaiah Thomas\thomais02,0.428,5.7,0.359,0.462,0.871,0.6,3.0,6.2,1.1,0.1,22.2,69
99,Ish Smith\smithis01,0.41100000000000003,2.2,0.32899999999999996,0.428,0.693,0.6,4.0,6.5,1.1,0.3,12.6,72
100,J.J. Barea\bareajo01,0.446,3.5,0.385,0.48100000000000004,0.7709999999999999,0.4,2.1,4.1,0.4,0.0,10.9,72
101,Jameer Nelson\nelsoja01,0.368,3.7,0.299,0.429,0.857,0.5,2.9,4.9,0.6,0.1,7.7,72
102,Jarrett Jack\jackja01,0.391,3.2,0.304,0.426,0.893,0.3,4.3,7.4,1.1,0.2,12.8,75
103,Jeff Teague\teaguje01,0.439,3.5,0.4,0.45399999999999996,0.8370000000000001,0.4,2.7,5.9,1.2,0.3,15.7,74
104,Jerian Grant\grantje02,0.39399999999999996,1.3,0.22,0.45399999999999996,0.78,0.3,1.9,2.3,0.7,0.1,5.6,76
105,John Wall\walljo01,0.424,4.3,0.35100000000000003,0.44799999999999995,0.7909999999999999,0.5,4.9,10.2,1.9,0.8,19.9,76
106,Jose Calderon\caldejo01,0.45899999999999996,2.8,0.414,0.496,0.875,0.3,3.2,4.1,0.9,0.1,7.6,75
107,Jrue Holiday\holidjr01,0.439,4.0,0.336,0.478,0.843,0.4,3.0,6.0,1.4,0.3,16.8,76
108,Kemba Walker\walkeke02,0.42700000000000005,6.0,0.371,0.45899999999999996,0.847,0.7,4.4,5.2,1.6,0.5,20.9,73
109,Kendall Marshall\marshke01,0.364,1.6,0.327,0.391,0.6920000000000001,0.1,0.9,2.4,0.5,0.1,3.7,76
110,Kirk Hinrich\hinriki01,0.38,1.3,0.387,0.373,0.938,0.2,1.5,1.6,0.3,0.0,3.0,76
111,Kyle Lowry\lowryky01,0.42700000000000005,7.1,0.38799999999999996,0.461,0.8109999999999999,0.7,4.7,6.4,2.1,0.4,21.2,73
112,Kyrie Irving\irvinky01,0.44799999999999995,4.9,0.321,0.502,0.885,0.8,3.0,4.7,1.1,0.3,19.6,75
113,Langston Galloway\gallola01,0.39299999999999996,2.7,0.344,0.423,0.754,0.5,3.5,2.5,0.9,0.3,7.6,74
114,Marcelo Huertas\huertma01,0.42200000000000004,1.2,0.262,0.479,0.9309999999999999,0.3,1.7,3.4,0.5,0.1,4.5,75
115,Marcus Smart\smartma01,0.348,4.0,0.253,0.42700000000000005,0.777,1.2,4.2,3.0,1.5,0.3,9.1,76
116,Mario Chalmers\chalmma01,0.41,2.4,0.309,0.461,0.8320000000000001,0.4,2.6,3.8,1.4,0.2,10.3,74
117,Matthew Dellavedova\dellama01,0.405,3.1,0.41,0.401,0.8640000000000001,0.4,2.1,4.4,0.6,0.1,7.5,76
118,Michael Carter-Williams\cartemi01,0.452,1.0,0.273,0.47200000000000003,0.654,0.9,5.1,5.2,1.5,0.8,11.5,78
119,Mike Conley\conlemi01,0.42200000000000004,3.8,0.363,0.449,0.8340000000000001,0.5,2.9,6.1,1.2,0.3,15.3,73
120,Mo Williams\willima01,0.43700000000000006,2.5,0.353,0.48,0.905,0.1,1.8,2.4,0.3,0.1,8.2,73
121,Norris Cole\coleno01,0.405,2.3,0.324,0.42700000000000005,0.8,0.2,3.4,3.7,0.8,0.1,10.6,74
122,Pablo Prigioni\prigipa01,0.374,1.6,0.295,0.519,0.875,0.6,1.9,2.2,0.9,0.0,2.5,75
123,Patrick Beverley\beverpa01,0.434,4.4,0.4,0.47200000000000003,0.682,1.0,3.5,3.4,1.3,0.4,9.9,73
124,Patty Mills\millspa02,0.425,4.0,0.384,0.469,0.81,0.3,2.0,2.8,0.7,0.1,8.5,72
125,Rajon Rondo\rondora01,0.45399999999999996,2.4,0.365,0.479,0.58,1.1,6.0,11.7,2.0,0.1,11.9,73
126,Ramon Sessions\sessira01,0.473,1.4,0.324,0.507,0.7559999999999999,0.3,2.5,2.9,0.6,0.1,9.9,75
127,Raul Neto\netora01,0.431,2.0,0.395,0.45299999999999996,0.743,0.2,1.5,2.1,0.8,0.0,5.9,73
128,Ray McCallum\mccalra01,0.377,1.0,0.35700000000000004,0.385,0.8,0.2,1.1,1.5,0.3,0.2,3.3,75
129,Raymond Felton\feltora01,0.406,2.7,0.282,0.46299999999999997,0.847,0.5,3.2,3.6,0.9,0.2,9.5,73
130,Reggie Jackson\jacksre01,0.434,4.2,0.353,0.46399999999999997,0.8640000000000001,0.7,3.2,6.2,0.7,0.1,18.8,75
131,Ricky Rubio\rubiori01,0.374,2.5,0.326,0.396,0.847,0.5,4.3,8.7,2.1,0.1,10.1,76
132,Rodney Stuckey\stuckro01,0.413,1.4,0.24100000000000002,0.45299999999999996,0.8290000000000001,0.3,2.7,2.4,0.7,0.1,8.9,77
133,Ronnie Price\pricero01,0.384,3.2,0.34700000000000003,0.45299999999999996,0.7559999999999999,0.4,1.6,2.4,1.2,0.2,5.3,74
134,Russell Westbrook\westbru01,0.45399999999999996,4.3,0.29600000000000004,0.503,0.812,1.8,7.8,10.4,2.0,0.3,23.5,75
135,Seth Curry\curryse01,0.455,2.5,0.45,0.46,0.833,0.2,1.4,1.5,0.5,0.1,6.8,74
136,Shabazz Napier\napiesh01,0.33799999999999997,1.9,0.327,0.35100000000000003,0.733,0.2,1.0,1.8,0.4,0.0,3.7,73
137,Shane Larkin\larkish01,0.442,1.4,0.361,0.46399999999999997,0.7759999999999999,0.4,2.3,4.4,1.2,0.2,7.3,71
138,Shaun Livingston\livinsh01,0.536,0.2,0.16699999999999998,0.5479999999999999,0.86,0.5,2.2,3.0,0.7,0.3,6.3,79
139,Shelvin Mack\macksh01,0.439,2.4,0.312,0.493,0.738,0.3,2.5,3.6,0.7,0.1,8.6,75
140,Stephen Curry\curryst01,0.504,11.2,0.45399999999999996,0.5660000000000001,0.9079999999999999,0.9,5.4,6.7,2.1,0.2,30.1,75
141,Steve Blake\blakest01,0.38799999999999996,2.6,0.344,0.461,0.8,0.2,1.5,3.4,0.4,0.1,4.4,75
142,T.J. McConnell\mccontj01,0.47,1.1,0.348,0.499,0.634,0.5,3.1,4.5,1.2,0.1,6.1,74
143,Tim Frazier\fraziti01,0.419,0.9,0.33299999999999996,0.442,0.716,0.5,2.2,3.2,0.6,0.0,5.1,73
144,Toney Douglas\douglto01,0.41100000000000003,3.3,0.39899999999999997,0.42100000000000004,0.848,0.4,2.3,2.6,1.1,0.1,8.7,74
145,Tony Parker\parketo01,0.493,0.9,0.415,0.501,0.76,0.2,2.4,5.3,0.8,0.2,11.9,74
