Player,FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS
Alan Anderson\anderal01,0.443,2.8,0.348,0.53,0.812,0.4,2.8,1.1,0.8,0.1,7.4
Alexey Shved\shvedal01,0.397,3.3,0.338,0.439,0.807,0.5,2.4,2.5,0.7,0.1,10.3
Allen Crabbe\crabbal01,0.412,1.7,0.353,0.485,0.75,0.1,1.4,0.8,0.4,0.3,3.3
Andre Roberson\roberan03,0.458,1.3,0.247,0.612,0.479,0.9,3.8,1,0.8,0.4,3.4
Anthony Morrow\morroan01,0.463,4.4,0.434,0.497,0.888,0.5,2.6,0.8,0.7,0.1,10.7
Archie Goodwin\goodwar01,0.393,1,0.293,0.419,0.735,0.7,1.8,1.1,0.4,0.2,5.6
Arron Afflalo\afflaar01,0.424,4.3,0.354,0.466,0.843,0.3,3.2,1.7,0.5,0.1,13.3
Austin Rivers\riverau01,0.409,1.7,0.298,0.449,0.675,0.4,2,2,0.6,0.2,7
Avery Bradley\bradlav01,0.429,4.6,0.352,0.47,0.79,0.6,3.1,1.8,1.1,0.2,13.9
Ben Gordon\gordobe01,0.437,1.7,0.361,0.475,0.836,0.1,1.1,0.9,0.3,0,6.2
Ben McLemore\mclembe01,0.437,4.8,0.358,0.507,0.813,0.4,2.9,1.7,0.9,0.2,12.1
Bradley Beal\bealbr01,0.427,4.1,0.409,0.434,0.783,0.9,3.8,3.1,1.2,0.3,15.3
C.J. Miles\milescj01,0.398,6.4,0.345,0.459,0.807,0.3,3.1,1.1,0.9,0.4,13.5
CJ McCollum\mccolcj01,0.436,2.2,0.396,0.46,0.699,0.2,1.5,1,0.7,0.1,6.8
Courtney Lee\leeco01,0.448,2.9,0.402,0.473,0.86,0.3,2.3,2,1,0.2,10.1
Danny Green\greenda02,0.436,5.6,0.418,0.466,0.874,0.7,4.2,2,1.2,1.1,11.7
DeMar DeRozan\derozde01,0.413,1.5,0.284,0.426,0.832,0.7,4.6,3.5,1.2,0.2,20.1
Dion Waiters\waitedi01,0.396,3.1,0.297,0.431,0.68,0.5,2.4,2,1.1,0.3,11.8
Dwyane Wade\wadedw01,0.47,1.6,0.284,0.489,0.768,0.9,3.5,4.8,1.2,0.3,21.5
Elijah Millsap\millsel01,0.34,1.9,0.311,0.358,0.674,0.6,3.2,1.2,1.2,0.3,5.3
Eric Gordon\gordoer01,0.411,5.2,0.448,0.38,0.805,0.5,2.6,3.8,0.8,0.2,13.4
Evan Fournier\fournev01,0.44,3.9,0.378,0.48,0.728,0.5,2.6,2.1,0.7,0,12
Evan Turner\turneev01,0.429,1.5,0.277,0.458,0.752,0.5,5.1,5.5,1,0.2,9.5
Garrett Temple\templga01,0.4,1.7,0.375,0.427,0.729,0.5,1.7,1.1,0.8,0.2,3.9
Gary Harris\harriga01,0.304,1.9,0.204,0.395,0.745,0.4,1.2,0.5,0.7,0.1,3.4
Gary Neal\nealga01,0.374,3,0.305,0.407,0.867,0.3,2.4,1.9,0.4,0,10.1
Gerald Green\greenge01,0.416,5.2,0.354,0.478,0.825,0.4,2.5,1.2,0.6,0.2,11.9
Gerald Henderson\hendege02,0.437,1.7,0.331,0.457,0.848,0.5,3.4,2.6,0.6,0.3,12.1
Giannis Antetokounmpo\antetgi01,0.491,0.5,0.159,0.511,0.741,1.2,6.7,2.6,0.9,1,12.7
Hollis Thompson\thompho01,0.413,4,0.401,0.426,0.708,0.7,2.8,1.2,0.8,0.4,8.8
Iman Shumpert\shumpim01,0.41,3.2,0.342,0.458,0.672,0.9,3.6,2.2,1.3,0.3,8
J.J. Redick\redicjj01,0.477,5.9,0.437,0.515,0.901,0.3,2.1,1.8,0.5,0.1,16.4
J.R. Smith\smithjr01,0.417,6.1,0.383,0.462,0.75,0.4,3.1,2.8,1.2,0.3,12.1
Jamal Crawford\crawfja01,0.396,5.7,0.327,0.448,0.901,0.3,1.9,2.5,0.9,0.2,15.8
James Harden\hardeja01,0.44,6.9,0.375,0.48,0.868,0.9,5.7,7,1.9,0.7,27.4
James Young\youngja01,0.353,2.1,0.258,0.528,0.552,0.3,1.4,0.4,0.3,0.1,3.4
Jared Dudley\dudleja01,0.468,2.7,0.385,0.537,0.716,0.6,3.1,1.8,1,0.2,7.2
Jason Terry\terryja01,0.422,4.2,0.39,0.504,0.813,0.2,1.6,1.9,0.9,0.2,7
Jeremy Lamb\lambje01,0.416,2.4,0.342,0.475,0.891,0.2,2.3,0.9,0.4,0.1,6.3
Jimmy Butler\butleji01,0.462,3,0.378,0.484,0.834,1.8,5.8,3.3,1.8,0.6,20
Jodie Meeks\meeksjo01,0.416,3.5,0.349,0.46,0.906,0.2,1.7,1.3,1,0.1,11.1
Joe Johnson\johnsjo02,0.435,4.2,0.359,0.472,0.801,0.7,4.8,3.7,0.7,0.2,14.4
Justin Holiday\holidju01,0.387,1.8,0.321,0.444,0.822,0.2,1.2,0.8,0.7,0.2,4.3
K.J. McDaniels\mcdankj01,0.396,2.4,0.287,0.454,0.752,1,3.2,1.2,0.7,1.1,7.9
Kent Bazemore\bazemke01,0.426,1.8,0.364,0.467,0.6,0.3,3,1,0.7,0.4,5.2
Kentavious Caldwell-Pope\caldwke01,0.401,5.4,0.345,0.449,0.696,0.6,3.1,1.3,1.1,0.2,12.7
Kevin Martin\martike02,0.427,4.9,0.393,0.442,0.881,0.5,3.6,2.3,0.8,0,20
Kirk Hinrich\hinriki01,0.373,2.5,0.345,0.394,0.7,0.3,1.8,2.2,0.7,0.2,5.7
Klay Thompson\thompkl01,0.463,7.1,0.439,0.481,0.879,0.4,3.2,2.9,1.1,0.8,21.7
Kobe Bryant\bryanko01,0.373,5.3,0.293,0.401,0.813,0.7,5.7,5.6,1.3,0.2,22.3
Kyle Korver\korveky01,0.487,6,0.492,0.47,0.898,0.2,4.1,2.6,0.7,0.6,12.1
Lance Stephenson\stephla01,0.376,1.7,0.171,0.425,0.627,0.6,4.5,3.9,0.6,0.1,8.2
Leandro Barbosa\barbole01,0.474,1.7,0.384,0.511,0.784,0.3,1.4,1.5,0.6,0.1,7.1
Lou Williams\willilo02,0.404,5.6,0.34,0.464,0.861,0.3,1.9,2.1,1.1,0.1,15.5
Manu Ginobili\ginobma01,0.426,3.7,0.345,0.489,0.721,0.4,3,4.2,1,0.3,10.5
Marco Belinelli\belinma01,0.423,3.7,0.374,0.471,0.848,0.4,2.5,1.5,0.5,0,9.2
Marcus Thornton\thornma01,0.406,3,0.378,0.426,0.821,0.5,1.8,0.8,0.6,0.1,7.9
Markel Brown\brownma02,0.362,1.4,0.266,0.404,0.825,0.3,2.3,0.8,0.7,0.3,4.6
Matthew Dellavedova\dellama01,0.362,2.5,0.407,0.307,0.763,0.6,1.9,3,0.4,0,4.8
Monta Ellis\ellismo01,0.445,3.6,0.285,0.487,0.752,0.4,2.4,4.1,1.9,0.3,18.9
Nick Calathes\calatni01,0.421,0.7,0.256,0.456,0.533,0.3,1.8,2.5,1.1,0.1,4.2
Nick Young\youngni01,0.366,5.4,0.369,0.363,0.892,0.4,2.3,1,0.5,0.3,13.4
Nik Stauskas\stausni01,0.365,2,0.322,0.408,0.859,0.2,1.2,0.9,0.3,0.2,4.4
O.J. Mayo\mayooj01,0.422,3.9,0.357,0.465,0.827,0.4,2.6,2.8,0.8,0.3,11.4
P.J. Hairston\hairspj02,0.323,3.6,0.301,0.358,0.861,0.5,2,0.5,0.5,0.3,5.6
Randy Foye\foyera01,0.368,5.3,0.357,0.388,0.818,0.2,1.7,2.4,0.7,0.2,8.7
Rodney Hood\hoodro01,0.414,3.4,0.365,0.456,0.763,0.2,2.3,1.7,0.6,0.2,8.7
Sergey Karasev\karasse01,0.403,1.6,0.296,0.475,0.763,0.7,2,1.4,0.7,0,4.6
Shabazz Muhammad\muhamsh01,0.489,1.3,0.392,0.503,0.717,1.7,4.1,1.2,0.5,0.2,13.5
Tim Hardaway\hardati02,0.389,5.1,0.342,0.435,0.801,0.2,2.2,1.8,0.3,0.2,11.5
Tony Allen\allento01,0.495,0.5,0.345,0.505,0.627,1.6,4.4,1.4,2,0.5,8.6
Tyler Johnson\johnsty01,0.419,1.5,0.375,0.437,0.681,0.4,2.5,1.3,1,0.3,5.9
Tyreke Evans\evansty01,0.447,2.9,0.304,0.482,0.694,1,5.3,6.6,1.3,0.5,16.6
Victor Oladipo\oladivi01,0.436,3.4,0.339,0.464,0.819,0.7,4.2,4.1,1.7,0.3,17.9
Vince Carter\cartevi01,0.333,3.5,0.297,0.379,0.789,0.4,2,1.2,0.7,0.2,5.8
Wayne Ellington\ellinwa01,0.412,3.7,0.37,0.439,0.813,0.5,3.2,1.6,0.5,0,10
Wesley Matthews\matthwe02,0.448,7.4,0.389,0.534,0.752,0.6,3.7,2.3,1.3,0.2,15.9
Will Barton\bartowi01,0.425,1.5,0.271,0.474,0.787,0.4,2.8,1.4,0.8,0.3,6.8
Willie Green\greenwi01,0.386,2.3,0.347,0.411,0.824,0.3,1.5,1.3,0.5,0.1,5.9
Alec Burks\burksal01,0.41,2.5,0.405,0.412,0.752,0.5,3.5,2,0.6,0.1,13.3
Allen Crabbe\crabbal01,0.459,3.5,0.393,0.506,0.867,0.3,2.7,1.2,0.8,0.2,10.3
Andre Roberson\roberan03,0.496,1.5,0.311,0.608,0.611,1.1,3.6,0.7,0.8,0.6,4.8
Anthony Morrow\morroan01,0.408,3,0.387,0.442,0.744,0.1,0.9,0.4,0.3,0.1,5.6
Arron Afflalo\afflaar01,0.443,3.4,0.382,0.469,0.84,0.3,3.7,2,0.4,0.1,12.8
Austin Rivers\riverau01,0.438,2.8,0.335,0.495,0.681,0.3,1.9,1.5,0.7,0.1,8.9
Avery Bradley\bradlav01,0.447,5.4,0.361,0.505,0.78,0.6,2.9,2.1,1.5,0.3,15.2
Ben McLemore\mclembe01,0.429,2.7,0.362,0.474,0.718,0.5,2.2,1.2,0.8,0.1,7.8
Bradley Beal\bealbr01,0.449,4.9,0.387,0.481,0.767,0.7,3.4,2.9,1,0.2,17.4
Brandon Knight\knighbr03,0.415,6.8,0.342,0.461,0.852,0.7,3.9,5.1,1.2,0.4,19.6
Brandon Rush\rushbr01,0.427,2.2,0.414,0.447,0.643,0.3,2.5,0.8,0.3,0.3,4.2
CJ McCollum\mccolcj01,0.448,5.9,0.417,0.463,0.827,0.6,3.2,4.3,1.2,0.3,20.8
Cory Joseph\josepco01,0.439,1.4,0.273,0.478,0.764,0.5,2.6,3.1,0.8,0.3,8.5
Courtney Lee\leeco01,0.454,2.7,0.378,0.493,0.839,0.4,2.6,1.7,1.1,0.4,9.6
Danny Green\greenda02,0.376,4.4,0.332,0.448,0.739,0.6,3.8,1.8,1,0.8,7.2
Darrun Hilliard\hillida01,0.397,1.3,0.38,0.407,0.725,0.1,1.2,0.7,0.2,0,4
DeMar DeRozan\derozde01,0.446,1.8,0.338,0.458,0.85,0.8,4.5,4,1,0.3,23.5
Devin Booker\bookede01,0.423,3.8,0.343,0.464,0.84,0.4,2.5,2.6,0.6,0.3,13.8
Dion Waiters\waitedi01,0.399,3.1,0.358,0.421,0.713,0.5,2.6,2,1,0.2,9.8
Dwyane Wade\wadedw01,0.456,0.6,0.159,0.468,0.793,1.1,4.1,4.6,1.1,0.6,19
E'Twaun Moore\mooreet01,0.481,1.8,0.452,0.491,0.629,0.3,2.3,1.7,0.6,0.3,7.5
Eric Gordon\gordoer01,0.418,6.5,0.384,0.457,0.888,0.2,2.2,2.7,1,0.3,15.2
Evan Turner\turneev01,0.456,1,0.241,0.482,0.827,0.6,4.9,4.4,1,0.3,10.5
Gary Harris\harriga01,0.469,3.9,0.354,0.543,0.82,0.7,2.9,1.9,1.3,0.2,12.3
Gary Neal\nealga01,0.465,2.5,0.41,0.489,0.855,0.3,2.1,1.2,0.5,0,9.8
Gerald Green\greenge01,0.392,3.8,0.323,0.446,0.783,0.4,2.4,0.8,0.6,0.3,8.9
Gerald Henderson\hendege02,0.439,1.9,0.353,0.468,0.767,0.4,2.9,1,0.5,0.3,8.7
Hollis Thompson\thompho01,0.397,5.1,0.38,0.42,0.719,0.7,3.5,1.3,0.5,0.3,9.8
Iman Shumpert\shumpim01,0.374,2.7,0.295,0.447,0.784,0.6,3.8,1.7,1,0.4,5.8
Isaiah Canaan\canaais01,0.36,6.3,0.363,0.354,0.833,0.3,2.3,1.8,0.7,0.2,11
J.J. Redick\redicjj01,0.48,5.6,0.475,0.484,0.888,0.1,1.9,1.4,0.6,0.1,16.3
J.R. Smith\smithjr01,0.415,6.6,0.4,0.438,0.634,0.6,2.8,1.7,1.1,0.3,12.4
Jamal Crawford\crawfja01,0.404,4.4,0.34,0.44,0.904,0.3,1.8,2.3,0.7,0.2,14.2
James Anderson\anderja01,0.376,1.7,0.267,0.478,0.759,0.3,1.7,0.8,0.4,0.3,3.5
James Harden\hardeja01,0.439,8,0.359,0.494,0.86,0.8,6.1,7.5,1.7,0.6,29
Jason Terry\terryja01,0.402,3.6,0.356,0.504,0.818,0.2,1.1,1.4,0.7,0.1,5.9
Jeremy Lamb\lambje01,0.451,2.7,0.309,0.529,0.727,0.7,3.8,1.2,0.6,0.5,8.8
Jeremy Lin\linje01,0.412,2.9,0.336,0.446,0.815,0.5,3.2,3,0.7,0.5,11.7
Jerryd Bayless\bayleje01,0.423,4.4,0.437,0.408,0.778,0.4,2.7,3.1,0.9,0.2,10.4
Jimmy Butler\butleji01,0.454,3.1,0.312,0.489,0.832,1.2,5.3,4.8,1.6,0.6,20.9
John Jenkins\jenkijo01,0.444,1.2,0.314,0.505,0.833,0.2,1.3,0.8,0.2,0,4.1
Jonathon Simmons\simmojo02,0.504,0.9,0.383,0.533,0.75,0.3,1.7,1.1,0.4,0.1,6
Jordan Clarkson\clarkjo01,0.433,4.1,0.347,0.468,0.804,1.2,4,2.4,1.1,0.1,15.5
Josh Richardson\richajo01,0.452,2.2,0.461,0.446,0.667,0.4,2.1,1.4,0.7,0.5,6.6
Justin Holiday\holidju01,0.386,2,0.343,0.423,0.73,0.2,1.7,1.1,0.6,0.4,4.5
Kentavious Caldwell-Pope\caldwke01,0.42,4.9,0.309,0.489,0.811,0.9,3.7,1.8,1.4,0.2,14.5
Kevin Martin\martike02,0.372,2.5,0.36,0.378,0.89,0.3,2,1.1,0.5,0.1,9.3
Khris Middleton\middlkh01,0.444,4.6,0.396,0.466,0.888,0.6,3.8,4.2,1.7,0.2,18.2
Klay Thompson\thompkl01,0.47,8.1,0.425,0.51,0.873,0.4,3.8,2.1,0.8,0.6,22.1
Kyle Korver\korveky01,0.435,5,0.398,0.502,0.833,0.2,3.3,2.1,0.8,0.4,9.2
Lamar Patterson\pattela01,0.35,1.4,0.245,0.516,0.727,0.1,1.4,1.1,0.3,0.1,2.4
Leandro Barbosa\barbole01,0.462,1.6,0.355,0.508,0.839,0.4,1.7,1.2,0.6,0.1,6.4
Lou Williams\willilo02,0.408,4.8,0.344,0.464,0.83,0.5,2.5,2.5,0.9,0.3,15.3
Manu Ginobili\ginobma01,0.453,3.1,0.391,0.496,0.813,0.4,2.5,3.1,1.1,0.2,9.6
Marco Belinelli\belinma01,0.386,4.4,0.306,0.456,0.833,0.1,1.7,1.9,0.5,0,10.2
Marcus Thornton\thornma01,0.399,4.4,0.337,0.46,0.848,0.6,2.5,1.4,0.8,0.1,9.7
Markel Brown\brownma02,0.394,2,0.314,0.443,0.755,0.4,2,1.5,0.6,0.2,5.9
Monta Ellis\ellismo01,0.427,3.5,0.309,0.472,0.786,0.5,3.3,4.7,1.9,0.5,13.8
Nick Young\youngni01,0.339,4.4,0.325,0.363,0.829,0.3,1.8,0.6,0.4,0.1,7.3
Nik Stauskas\stausni01,0.385,4.5,0.326,0.473,0.771,0.3,2.5,1.9,0.6,0.3,8.5
Norman Powell\powelno01,0.424,1.8,0.404,0.436,0.811,0.3,2.3,1,0.6,0.2,5.6
O.J. Mayo\mayooj01,0.371,4,0.321,0.421,0.775,0.3,2.6,2.9,1.2,0.2,7.8
Randy Foye\foyera01,0.351,3.1,0.3,0.405,0.824,0.3,1.9,2,0.5,0.4,5.9
Rashad Vaughn\vaughra01,0.305,2.1,0.293,0.319,0.8,0.2,1.3,0.6,0.4,0.2,3.1
Rodney Hood\hoodro01,0.42,5.7,0.359,0.472,0.86,0.5,3.4,2.7,0.9,0.2,14.5
Sasha Vujacic\vujacsa01,0.383,2.3,0.364,0.403,0.821,0.4,2.4,1.4,0.6,0.1,4.9
Sean Kilpatrick\kilpase01,0.456,3.7,0.342,0.538,0.896,0.4,1.8,0.9,0.4,0.1,11.1
Tim Hardaway\hardati02,0.43,2.8,0.338,0.537,0.893,0.1,1.7,1,0.4,0.1,6.4
Tony Allen\allento01,0.458,0.7,0.357,0.468,0.652,1.6,4.6,1.1,1.7,0.3,8.4
Troy Daniels\danietr01,0.476,2.8,0.484,0.462,0.556,0.2,1.3,0.5,0.3,0.1,5.6
Tyler Johnson\johnsty01,0.486,2,0.38,0.529,0.797,0.8,3,2.2,0.7,0.4,8.7
Victor Oladipo\oladivi01,0.438,3.9,0.348,0.475,0.83,0.7,4.8,3.9,1.6,0.8,16
Vince Carter\cartevi01,0.388,2.8,0.349,0.425,0.833,0.5,2.4,0.9,0.6,0.3,6.6
Wayne Ellington\ellinwa01,0.389,3.5,0.358,0.416,0.857,0.3,2.3,1.1,0.6,0.1,7.7
Will Barton\bartowi01,0.432,4,0.345,0.476,0.806,0.7,5.8,2.5,0.9,0.5,14.4
Zach LaVine\lavinza01,0.452,3.9,0.389,0.482,0.793,0.3,2.8,3.1,0.8,0.2,14
Alec Burks\burksal01,0.399,1.8,0.329,0.43,0.769,0.4,2.9,0.7,0.4,0.1,6.7
Alex Abrines\abrinal01,0.393,3.6,0.381,0.426,0.898,0.3,1.3,0.6,0.5,0.1,6
